Ticker,Security,CIK
MMC,Marsh & McLennan,62709
MLM,Martin Marietta Materials,916076
MAS,Masco Corp.,62996
MA,Mastercard Inc.,1141391
MAT,Mattel Inc.,63276
MKC,McCormick & Co.,63754
MCD,McDonald's Corp.,63908
MCK,McKesson Corp.,927653
MDT,Medtronic plc,64670
MRK,Merck & Co.,310158
MET,MetLife Inc.,1099219
MTD,Mettler Toledo,1037646
MGM,MGM Resorts International,789570
KORS,Michael Kors Holdings,1530721
MCHP,Microchip Technology,827054
MU,Micron Technology,723125
MSFT,Microsoft Corp.,789019
MAA,Mid-America Apartments,912595
MHK,Mohawk Industries,851968
TAP,Molson Coors Brewing Company,24545
MDLZ,Mondelez International,1103982
MON,Monsanto Co.,1110783
MNST,Monster Beverage,865752
MCO,Moody's Corp,1059556
MS,Morgan Stanley,895421
MOS,The Mosaic Company,1285785
MSI,Motorola Solutions Inc.,68505
MSCI,MSCI Inc,1408198
MYL,Mylan N.V.,69499
NDAQ,"Nasdaq, Inc.",1120193
NOV,National Oilwell Varco Inc.,1021860
NAVI,Navient,1593538
NKTR,Nektar Therapeutics,906709
NTAP,NetApp,1002047
NFLX,Netflix Inc.,1065280
NWL,Newell Brands,814453
NFX,Newfield Exploration Co,912750
NEM,Newmont Mining Corporation,1164727
NWSA,News Corp. Class A,1564708
NWS,News Corp. Class B,1564708
NEE,NextEra Energy,753308
NLSN,Nielsen Holdings,1492633
NKE,Nike,320187
NI,NiSource Inc.,1111711
NBL,Noble Energy Inc,72207
JWN,Nordstrom,72333
NSC,Norfolk Southern Corp.,702165
NTRS,Northern Trust Corp.,73124
NOC,Northrop Grumman Corp.,1133421
NCLH,Norwegian Cruise Line,1513761
NRG,NRG Energy,1013871
NUE,Nucor Corp.,73309
NVDA,Nvidia Corporation,1045810
ORLY,O'Reilly Automotive,898173
OXY,Occidental Petroleum,797468
OMC,Omnicom Group,29989
OKE,ONEOK,1039684
ORCL,Oracle Corp.,1341439
PCAR,PACCAR Inc.,75362
PKG,Packaging Corporation of America,75677
PH,Parker-Hannifin,76334
PAYX,Paychex Inc.,723531
PYPL,PayPal,1633917
PNR,Pentair Ltd.,77360
PBCT,People's United Financial,1378946
PEP,PepsiCo Inc.,77476
PKI,PerkinElmer,31791
PRGO,Perrigo,1585364
PFE,Pfizer Inc.,78003
PCG,PG&E Corp.,1004980
PM,Philip Morris International,1413329
PSX,Phillips 66,1534701
PNW,Pinnacle West Capital,764622
PXD,Pioneer Natural Resources,1038357
PNC,PNC Financial Services,713676
RL,Polo Ralph Lauren Corp.,1037038
PPG,PPG Industries,79879
PPL,PPL Corp.,922224
PX,Praxair Inc.,884905
PFG,Principal Financial Group,1126328
PG,Procter & Gamble,80424
PGR,Progressive Corp.,80661
PLD,Prologis,1045609
PRU,Prudential Financial,1137774
PEG,Public Serv. Enterprise Inc.,788784
PSA,Public Storage,1393311
PHM,Pulte Homes Inc.,822416
PVH,PVH Corp.,78239
QRVO,Qorvo,1604778
PWR,Quanta Services Inc.,1050915
QCOM,QUALCOMM Inc.,804328
DGX,Quest Diagnostics,1022079
RRC,Range Resources Corp.,315852
RJF,Raymond James Financial Inc.,720005
RTN,Raytheon Co.,1047122
O,Realty Income Corporation,726728
RHT,Red Hat Inc.,1087423
REG,Regency Centers Corporation,910606
REGN,Regeneron,872589
RF,Regions Financial Corp.,1281761
RSG,Republic Services Inc,1060391
RMD,ResMed,943819
RHI,Robert Half International,315213
ROK,Rockwell Automation Inc.,1024478
COL,Rockwell Collins,1137411
ROP,Roper Technologies,882835
ROST,Ross Stores,745732
RCL,Royal Caribbean Cruises Ltd,884887
CRM,Salesforce.com,1108524
SBAC,SBA Communications,1034054
SCG,SCANA Corp,754737
SLB,Schlumberger Ltd.,87347
STX,Seagate Technology,1137789
SEE,Sealed Air,1012100
SRE,Sempra Energy,1032208
SHW,Sherwin-Williams,89800
SPG,Simon Property Group Inc,1063761
SWKS,Skyworks Solutions,4127
SLG,SL Green Realty,1040971
SNA,Snap-On Inc.,91440
SO,Southern Co.,92122
LUV,Southwest Airlines,92380
SPGI,"S&P Global, Inc.",64040
SWK,Stanley Black & Decker,93556
SBUX,Starbucks Corp.,829224
STT,State Street Corp.,93751
SRCL,Stericycle Inc,861878
SYK,Stryker Corp.,310764
STI,SunTrust Banks,750556
SIVB,SVB Financial,719739
SYMC,Symantec Corp.,849399
SYF,Synchrony Financial,1601712
SNPS,Synopsys Inc.,883241
SYY,Sysco Corp.,96021
TROW,T. Rowe Price Group,1113169
TTWO,Take-Two Interactive,946581
TPR,"Tapestry, Inc.",1116132
TGT,Target Corp.,27419
TEL,TE Connectivity Ltd.,1385157
FTI,TechnipFMC,1681459
TXN,Texas Instruments,97476
TXT,Textron Inc.,217346
TMO,Thermo Fisher Scientific,97745
TIF,Tiffany & Co.,98246
TWX,Time Warner Inc.,1105705
TJX,TJX Companies Inc.,109198
TMK,Torchmark Corp.,320335
TSS,Total System Services,721683
TSCO,Tractor Supply Company,916365
TDG,TransDigm Group,1260221
TRV,The Travelers Companies Inc.,86312
TRIP,TripAdvisor,1526520
FOXA,Twenty-First Century Fox Class A,1308161
FOX,Twenty-First Century Fox Class B,1308161
TSN,Tyson Foods,100493
UDR,UDR Inc,74208
ULTA,Ulta Beauty,1403568
USB,U.S. Bancorp,36104
UAA,Under Armour Class A,1336917
UA,Under Armour Class C,1336917
UNP,Union Pacific,100885
UAL,United Continental Holdings,100517
UNH,United Health Group Inc.,731766
UPS,United Parcel Service,1090727
URI,"United Rentals, Inc.",1067701
UTX,United Technologies,101829
UHS,"Universal Health Services, Inc.",352915
UNM,Unum Group,5513
VFC,V.F. Corp.,103379
VLO,Valero Energy,1035002
VAR,Varian Medical Systems,203527
VTR,Ventas Inc,740260
VRSN,Verisign Inc.,1014473
VRSK,Verisk Analytics,1442145
VZ,Verizon Communications,732712
VRTX,Vertex Pharmaceuticals Inc,875320
VIAB,Viacom Inc.,1339947
V,Visa Inc.,1403161
VNO,Vornado Realty Trust,899689
VMC,Vulcan Materials,1396009
WMT,Wal-Mart Stores,104169
WBA,Walgreens Boots Alliance,1618921
DIS,The Walt Disney Company,1001039
WM,Waste Management Inc.,823768
WAT,Waters Corporation,1000697
WEC,Wec Energy Group Inc,783325
WFC,Wells Fargo,72971
WELL,Welltower Inc.,766704
WDC,Western Digital,106040
WU,Western Union Co,1365135
WRK,WestRock Company,1636023
WY,Weyerhaeuser Corp.,106535
WHR,Whirlpool Corp.,106640
WMB,Williams Cos.,107263
WLTW,Willis Towers Watson,1140536
WYN,Wyndham Worldwide,1361658
WYNN,Wynn Resorts Ltd,1174922
XEL,Xcel Energy Inc,72903
XRX,Xerox Corp.,108772
XLNX,Xilinx Inc,743988
XL,XL Capital,875159
XYL,Xylem Inc.,1524472
YUM,Yum! Brands Inc,1041061
ZBH,Zimmer Biomet Holdings,1136869
ZION,Zions Bancorp,109380
ZTS,Zoetis,1555280
